title,rating
Brick (2005),2
Bridesmaids (2011),4
"Bridge on the River Kwai, The (1957)",20
"Bridges of Madison County, The (1995)",1
Bridget Jones's Diary (2001),8
Bridget Jones: The Edge of Reason (2004),1
Brigadoon (1954),1
"Bright Lights, Big City (1988)",1
Bringing Up Baby (1938),5
Broadcast News (1987),3
Broadway Danny Rose (1984),1
Brokeback Mountain (2005),2
Brokedown Palace (1999),1
Broken Arrow (1996),6
"Bronx Tale, A (1993)",3
Brooklyn (2015),1
Brother (2000),1
Brother (Brat) (1997),1
"Brotherhood of the Wolf (Pacte des loups, Le) (2001)",3
"Brothers Bloom, The (2008)",1
Bruce Almighty (2003),3
Buena Vista Social Club (1999),1
Buffalo '66 (a.k.a. Buffalo 66) (1998),3
"Bug's Life, A (1998)",10
Bull Durham (1988),7
Bullet in the Head (1990),1
Bulletproof (1996),1
Bullets Over Broadway (1994),7
Bullitt (1968),1
Bully (2001),1
Bulworth (1998),3
Burn After Reading (2008),4
Burnt by the Sun (Utomlyonnye solntsem) (1994),3
Butch Cassidy and the Sundance Kid (1969),17
"Butcher Boy, The (1997)",1
Butterfly (La lengua de las mariposas) (1999),1
Buzzard (2015),1
"Cabin in the Woods, The (2012)",7
"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)",2
"Cable Guy, The (1996)",5
Caddyshack (1980),13
"Calcium Kid, The (2004)",1
Calendar Girl (1993),1
Calendar Girls (2003),1
Can't Hardly Wait (1998),1
Canadian Bacon (1995),1
"Cannonball Run, The (1981)",1
Cape Fear (1962),2
Cape Fear (1991),3
Captain America: Civil War (2016),3
Captain America: The First Avenger (2011),1
Captain America: The Winter Soldier (2014),7
Captain Phillips (2013),4
Capturing the Friedmans (2003),2
Career Girls (1997),1
Carlito's Way (1993),5
Carnage (2011),1
Carnival of Souls (1962),1
Carrie (1976),1
Cars (2006),2
Casablanca (1942),41
Cashback (2006),1
Casino (1995),14
Casino Jack (2010),1
Casino Royale (2006),15
Casper (1995),3
Cast Away (2000),11
"Cat Returns, The (Neko no ongaeshi) (2002)",1
Cat on a Hot Tin Roof (1958),3
Catch Me If You Can (2002),18
Catch-22 (1970),1
Cecil B. DeMented (2000),1
"Celebration, The (Festen) (1998)",4
"Cell, The (2000)",3
"Celluloid Closet, The (1995)",1
"Cement Garden, The (1993)",1
Center Stage (2000),2
"Center of the World, The (2001)",1
Central Intelligence (2016),1
Central Station (Central do Brasil) (1998),2
Chappie (2015),1
Charade (1963),1
Chariots of Fire (1981),3
"Charlie Brown Christmas, A (1965)",1
Charlie's Angels (2000),1
Charlotte's Web (1973),3
Chasing Amy (1997),8
Chasing Liberty (2004),3
Che: Part One (2008),1
Che: Part Two (2008),1
Cheburashka (1971),1
Cheech and Chong's Up in Smoke (1978),3
Cherish (2002),1
Chicago (2002),8
Chicken Run (2000),8
Children of Men (2006),12
Children of a Lesser God (1986),2
Children of the Corn IV: The Gathering (1996),2
Chinatown (1974),19
Chinese Puzzle (Casse-tête chinois) (2013),1
Chitty Chitty Bang Bang (1968),2
Chocolat (1988),1
Chocolat (2000),6
"Chorus Line, A (1985)",2
"Chorus, The (Choristes, Les) (2004)",2
"Christmas Story, A (1983)",18
Christmas Vacation (National Lampoon's Christmas Vacation) (1989),6
Chronicle (2012),1
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",4
"Chronicles of Riddick, The (2004)",1
"Chump at Oxford, A (1940)",1
Chungking Express (Chung Hing sam lam) (1994),2
"Cider House Rules, The (1999)",2
Cinderella (1950),3
"Cinderella Story, A (2004)",1
Cinema Paradiso (Nuovo cinema Paradiso) (1989),14
Cinemania (2002),1
Circle of Friends (1995),4
Citizen Kane (1941),22
Citizen Ruth (1996),1
City Lights (1931),3
City Slickers (1991),4
City Slickers II: The Legend of Curly's Gold (1994),2
City of Angels (1998),2
City of God (Cidade de Deus) (2002),21
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",8
Clash of the Titans (1981),2
Class (1983),1
"Class, The (Klass) (2007)",1
Clear and Present Danger (1994),13
Clerks (1994),23
Clerks II (2006),1
Click (2006),1
"Client, The (1994)",5
Cliffhanger (1993),6
Clockwatchers (1997),1
"Clockwork Orange, A (1971)",36
Close Encounters of the Third Kind (1977),11
"Closet, The (Placard, Le) (2001)",1
Cloud Atlas (2012),1
Cloudy with a Chance of Meatballs (2009),1
Cloverfield (2008),1
Clueless (1995),10
Cocaine Cowboys (2006),1
Coco (2017),4
Cold Comfort Farm (1995),1
Collateral (2004),4
"Colonel Chabert, Le (1994)",1
"Color Purple, The (1985)",2
Colourful (Karafuru) (2010),1
Come and See (Idi i smotri) (1985),2
Coming to America (1988),1
Commando (1985),1
"Commitments, The (1991)",3
Con Air (1997),1
Conan the Barbarian (1982),5
Coneheads (1993),1
Confessions of a Shopaholic (2009),1
"Conformist, The (Conformista, Il) (1970)",2
Congo (1995),3
"Conjuring, The (2013)",1
Connections (1978),1
Conquest of the Planet of the Apes (1972),1
Conspiracy Theory (1997),1
"Constant Gardener, The (2005)",1
Constantine (2005),3
Contact (1997),17
Continental Divide (1981),1
Control (2007),1
Control Room (2004),1
"Conversation, The (1974)",5
Conversations with Other Women (2005),1
Cookie's Fortune (1999),3
Cool Hand Luke (1967),18
Cool Runnings (1993),2
Cop Land (1997),2
Cop Out (2010),1
Copycat (1995),3
Coraline (2009),1
"Corporation, The (2003)",1
Corpse Bride (2005),2
"Corrina, Corrina (1994)",1
Cosmic Scrat-tastrophe (2015),1
Cosmos,1
"Cottage, The (2008)",1
Courage Under Fire (1996),3
"Cove, The (2009)",1
Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),1
Coyote Ugly (2000),1
"Craft, The (1996)",3
Craig Ferguson: I'm Here To Help (2013),1
Crank (2006),3
Crash (1996),2
Crash (2004),6
"Crazies, The (2010)",1
Crazy Heart (2009),1
"Crazy, Stupid, Love. (2011)",4
Crazy/Beautiful (2001),1
Creature Comforts (1989),4
Creed (2015),1
Crimes and Misdemeanors (1989),2
Crimson Tide (1995),14
Crippled Avengers (Can que) (Return of the 5 Deadly Venoms) (1981),1
Crocodile Dundee (1986),3
Crocodile Dundee II (1988),1
"Croods, The (2013)",1
Crossing Delancey (1988),1
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",21
Croupier (1998),1
"Crow, The (1994)",13
"Crow: City of Angels, The (1996)",1
"Crucible, The (1996)",1
Cruel Intentions (1999),2
"Cruel Romance, A (Zhestokij Romans) (1984)",1
"Cruise, The (1998)",1
Crumb (1994),5
"Cry, the Beloved Country (1995)",1
Cry-Baby (1990),1
"Crying Game, The (1992)",4
Cube (1997),2
"Cup, The (Phörpa) (1999)",1
"Curious Case of Benjamin Button, The (2008)",2
Cutthroat Island (1995),1
Cyrano de Bergerac (1990),3
Dallas Buyers Club (2013),4
Dan in Real Life (2007),1
Dancer in the Dark (2000),6
Dances with Wolves (1990),35
Dangerous Beauty (1998),1
Dangerous Liaisons (1988),6
Dangerous Minds (1995),2
Dante's Peak (1997),1
Dark City (1998),7
"Dark Crystal, The (1982)",3
"Dark Knight Rises, The (2012)",17
"Dark Knight, The (2008)",49
Dave (1993),3
Dawn of the Dead (1978),6
Dawn of the Dead (2004),2
Dawn of the Planet of the Apes (2014),1
Day & Night (2010),1
"Day at the Races, A (1937)",1
Day of the Dead (1985),1
"Day of the Doctor, The (2013)",3
"Day the Earth Stood Still, The (1951)",5
Daylight (1996),1
Days of Thunder (1990),1
Dazed and Confused (1993),10
De platte jungle (1978),1
Dead Again (1991),3
Dead Alive (Braindead) (1992),4
Dead Man (1995),3
Dead Man Walking (1995),13
Dead Man's Shoes (2004),1
Dead Men Don't Wear Plaid (1982),2
Dead Poets Society (1989),20
Dead Ringers (1988),1
Dead Snow (Død snø) (2009),1
"Dead Zone, The (1983)",3
Dead or Alive: Hanzaisha (1999),1
Deadpool (2016),15
Deadpool 2 (2018),4
Dear Zachary: A Letter to a Son About His Father (2008),1
Death Becomes Her (1992),1
Death Note: Desu nôto (2006–2007),1
Death Proof (2007),1
Death Race 2000 (1975),1
Death and the Maiden (1994),1
Deathgasm (2015),1
Deathtrap (1982),1
"Decalogue, The (Dekalog) (1989)",1
Deconstructing Harry (1997),2
"Deer Hunter, The (1978)",10
Defending Your Life (1991),3
"Definitely, Maybe (2008)",1
Delicatessen (1991),4
Delirium (2014),1
Deliver Us from Evil (2006),1
Deliverance (1972),4
Demolition Man (1993),5
Denise Calls Up (1995),1
"Departed, The (2006)",26
Departures (Okuribito) (2008),2
Dersu Uzala (1975),2
"Descendants, The (2011)",1
"Descent, The (2005)",1
Desperado (1995),11
Despicable Me (2010),5
Despicable Me 2 (2013),2
Detroit Rock City (1999),1
"Devil Wears Prada, The (2006)",1
Devil in a Blue Dress (1995),1
"Devil's Own, The (1997)",1
Diabolique (1996),1
Diabolique (Les diaboliques) (1955),1
Dial M for Murder (1954),4
Diamonds Are Forever (1971),1
Dick (1999),1
Dick Tracy (1990),1
"Dictator, The (2012)",1
Die Another Day (2002),1
Die Hard (1988),29
Die Hard 2 (1990),4
Die Hard: With a Vengeance (1995),23
Diner (1982),3
"Dinner Game, The (Dîner de cons, Le) (1998)",1
Dinner for Schmucks (2010),1
Dinosaur (2000),1
Dirty Dancing (1987),1
"Dirty Dozen, The (1967)",5
Dirty Harry (1971),2
Dirty Rotten Scoundrels (1988),3
Dirty Work (1998),1
Disclosure (1994),6
"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)",2
"Dish, The (2001)",1
District 9 (2009),9
Divergent (2014),1
"Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)",1
Divorce - Italian Style (Divorzio all'italiana) (1961),1
Django Unchained (2012),13
Do the Right Thing (1989),5
Doctor Dolittle (1967),3
Doctor Strange (2016),3
Doctor Who: A Christmas Carol (2010),1
"Doctor Who: The Doctor, the Widow and the Wardrobe (2011)",1
Doctor Who: The Time of the Doctor (2013),1
Doctor Who: Voyage Of The Damned (2007),1
Doctor Zhivago (1965),7
Dodgeball: A True Underdog Story (2004),1
Dog Day Afternoon (1975),6
Dog Soldiers (2002),2
Dogma (1999),11
Dogville (2003),4
"Dolce Vita, La (1960)",1
Dolls (2002),1
Dolores Claiborne (1995),2
Don Juan DeMarco (1995),4
Donnie Brasco (1997),4
Donnie Darko (2001),25
"Doors, The (1991)",4
Double Indemnity (1944),7
Double Jeopardy (1999),1
"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",1
Double Team (1997),1
Doubt (2008),1
Down Argentine Way (1940),1
Down Periscope (1996),1
Down by Law (1986),3
"Downfall (Untergang, Der) (2004)",3
Dr. Goldfoot and the Bikini Machine (1965),1
Dr. Horrible's Sing-Along Blog (2008),5
Dr. No (1962),3
Dr. Seuss' The Lorax (2012),1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),36
Dracula (Bram Stoker's Dracula) (1992),3
Dracula: Dead and Loving It (1995),1
Dragonheart (1996),2
Dragons: Gift of the Night Fury (2011),1
Dragonslayer (1981),1
"Draughtsman's Contract, The (1982)",1
"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)",1
"Dreamers, The (2003)",1
"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)",1
Dredd (2012),3
Drillbit Taylor (2008),1
Drive (2011),5
Driving Miss Daisy (1989),2
Drop Zone (1994),1
Drugstore Cowboy (1989),4
Drunken Master (Jui kuen) (1978),4
"Duchess, The (2008)",1
Duck Soup (1933),6
"Dude, Where's My Car? (2000)",3
Duel in the Sun (1946),1
Dumb & Dumber (Dumb and Dumber) (1994),14
Dumb and Dumberer: When Harry Met Lloyd (2003),1
Dumbo (1941),3
Dune (1984),2
Dune (2000),2
Dunkirk (2017),2
Duplex (2003),1
Dying Young (1991),1
Dylan Moran: Monster (2004),1
E.T. the Extra-Terrestrial (1982),28
East is East (1999),1
Eastern Promises (2007),3
Easy A (2010),2
Easy Money (1983),1
Easy Rider (1969),1
Eat Drink Man Woman (Yin shi nan nu) (1994),5
Ed (1996),1
Ed Wood (1994),9
Eddie Izzard: Dress to Kill (1999),1
Eddie Murphy Delirious (1983),2
Eddie Murphy Raw (1987),2
Edge of Tomorrow (2014),6
"Education, An (2009)",1
Edward Scissorhands (1990),4
Eichmann (2007),1
Election (1999),11
"Elephant Man, The (1980)",2
Elf (2003),5
Elite Squad (Tropa de Elite) (2007),3
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010),2
Elizabeth (1998),3
Elling (2001),1
Emma (1996),9
"Emperor's New Groove, The (2000)",3
Empire Records (1995),3
Empire of the Sun (1987),2
Empties (2007),1
Enchanted April (1992),1
Encounters at the End of the World (2008),1
End of Watch (2012),1
"Endless Summer, The (1966)",1
Enemy at the Gates (2001),3
Enemy of the State (1998),6
"English Patient, The (1996)",9
English Vinglish (2012),1
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",1
Enough (2002),1
Enron: The Smartest Guys in the Room (2005),1
Enter the Dragon (1973),1
Enter the Void (2009),2
Entertaining Angels: The Dorothy Day Story (1996),1
Entrapment (1999),2
Equilibrium (2002),6
Eraser (1996),5
Eraserhead (1977),2
Erin Brockovich (2000),5
Escape from L.A. (1996),1
Escape from New York (1981),5
Escape from the Planet of the Apes (1971),1
Eternal Sunshine of the Spotless Mind (2004),33
Europa Europa (Hitlerjunge Salomon) (1990),1
Eva (2011),1
Event Horizon (1997),1
Ever After: A Cinderella Story (1998),2
Everest (1998),2
Everybody Wants Some (2016),1
Everyone Says I Love You (1996),2
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),1
Evil Dead II (Dead by Dawn) (1987),8
"Evil Dead, The (1981)",4
Evita (1996),1
Ex Drummer (2007),1
Ex Machina (2015),5
Excalibur (1981),6
Executive Decision (1996),5
Exit Through the Gift Shop (2010),2
"Exorcist III, The (1990)",1
"Exorcist, The (1973)",12
"Expendables 2, The (2012)",1
Eye for an Eye (1996),1
Eyes Wide Shut (1999),9
FLCL (2000),4
"Face in the Crowd, A (1957)",1
Face/Off (1997),9
"Fall, The (2006)",3
Fallen (1998),2
Falling Down (1993),2
Fame (1980),1
Family Guy Presents: It's a Trap (2010),1
"Family Man, The (2000)",2
"Family, The (2013)",1
"Fan, The (1996)",1
Fandango (1985),1
Fanny and Alexander (Fanny och Alexander) (1982),1
Fantasia (1940),12
Fantasia 2000 (1999),2
"Fantastic Fear of Everything, A (2012)",1
Fantastic Mr. Fox (2009),4
"Fantastic Planet, The (Planète sauvage, La) (1973)",1
Far From Home: The Adventures of Yellow Dog (1995),1
Far from Heaven (2002),1
Farewell My Concubine (Ba wang bie ji) (1993),3
Fargo (1996),57
Fast Food Nation (2006),1
